PID,Sale_Price
910251050,64444.1169407136
903454090,132763.184316215
528253010,201050.560148406
527183060,225973.796134217
907135180,124344.520343624
906380110,225577.926078603
907192020,185728.931988095
902402150,78041.1072289584
909276170,175816.180939342
906412010,388248.733046377
905452140,144677.617265241
531376030,187188.212357949
534277070,116927.917319847
910202060,118341.479240994
906226080,136959.402683929
903231090,139050.527190887
527359010,179993.787596004
923228370,89898.6835874283
906402060,244853.396774716
903426010,128703.243328856
905200350,156051.641966774
535353130,114483.123764754
907285040,254217.144207834
923252080,120502.079381917
909250160,101082.585334752
907135230,151424.741769536
907131120,197054.093466528
532476050,258687.619639505
905104110,140128.830492111
528104080,430698.659849037
528181070,222228.647364815
907285020,223540.789660691
534129370,149040.942190158
907401080,206150.839267891
528348030,264321.1259958
905475500,79991.7634722359
903453080,197844.117781299
903232090,150056.653253276
531363080,147243.907369829
528174030,193484.596789915
534129380,127873.959737224
528431020,242435.958703807
532376040,123490.735647116
903201020,126578.189808987
905105170,124454.583342402
533210010,169432.714992063
902201130,116798.961669337
532378220,125417.732815342
902405120,112108.244852403
907414060,187435.956091237
528222020,181990.626293411
923203190,161397.542399939
903233080,157721.504226568
531450120,196471.568178003
907181090,199092.662596053
528166150,335420.755652088
905480160,100297.789428662
534475170,166812.31845637
914478045,149322.702031507
531371070,200607.345750607
527165170,174556.722311366
905202230,207801.989732771
909425180,217122.997807902
528315110,318551.709417922
907192130,220408.882643722
526355190,307044.49404174
909176080,161404.290207921
535353180,206875.935363579
535300040,130564.287735037
905200160,99305.0961282748
528458060,198193.817997107
907254050,203163.956561739
527163040,176094.653539801
531452260,171627.451356882
528222040,196613.92017672
923225360,96943.9489823161
535457040,129676.687657998
904100170,137830.516554773
528218060,174771.216478319
908188150,148344.633310003
534252110,132490.039077389
909281030,130065.749130385
527354050,183028.339584233
909275020,158515.810551972
907414070,185837.570982635
924151040,273389.234170945
903452025,95727.134696061
528280130,190193.946699563
528181030,197911.97471778
533221030,174746.047089404
533208070,167913.435570766
902207120,83761.527521301
533205110,220499.617850575
533212110,156336.717766021
923276250,143253.544717465
527183030,210873.837730462
906402200,298074.258969646
527106140,192852.125178864
535383070,119682.780557443
528174040,204353.531975097
903481130,92403.65501842
528106010,359771.211431949
533223100,149336.11104575
528188090,168472.207864371
526353030,267387.28057705
911103060,99759.4170981851
533251120,163260.43384112
533254100,177736.372112978
909426090,133070.70642599
904352190,134582.601810295
910226040,157006.436105588
