PID,Sale_Price
910251050,63711.8695691849
903454090,129724.169578952
528253010,223710.392784662
527183060,212826.04869355
907135180,129905.785924644
906380110,219683.878841121
907192020,186422.306484538
902402150,88831.867462351
909276170,197447.264853723
906412010,349867.006605367
905452140,151091.381190605
531376030,183288.44181554
534277070,121201.384810508
910202060,115319.551782281
906226080,142337.368432434
903231090,132665.044919818
527359010,183155.469191698
923228370,87877.865008839
906402060,254904.843495646
903426010,121720.320770105
905200350,154194.571510299
535353130,122743.444482645
907285040,262818.876216198
923252080,121116.920415964
909250160,87044.9420972563
907135230,149555.867939683
907131120,210069.901306208
532476050,257933.194536807
905104110,132706.296606219
528104080,448797.921943703
528181070,218005.884847593
907285020,238007.696073534
534129370,155944.634648567
907401080,211239.917631976
528348030,280601.047149607
905475500,83758.3756146793
903453080,192790.281644319
903232090,152409.487140467
531363080,141439.14921259
528174030,203490.064466331
534129380,136412.237356973
528431020,254371.077671877
532376040,125529.417208745
903201020,122156.988363663
905105170,120720.000243523
533210010,169231.749445357
902201130,120042.311562305
532378220,127128.60400433
902405120,115115.175332672
907414060,177278.607726073
528222020,174562.783918801
923203190,168290.877174618
903233080,152592.736974596
531450120,191577.698997164
907181090,200484.321442799
528166150,332231.971947636
905480160,98721.7963271447
534475170,173638.964385563
914478045,154266.202176119
531371070,190299.409541168
527165170,176921.730846313
905202230,196087.356725687
909425180,210021.425039097
528315110,338420.410621508
907192130,219088.43071604
526355190,273478.193176784
909176080,168463.015456181
535353180,235474.761399765
535300040,133197.99948942
905200160,112152.516116528
528458060,206281.423858989
907254050,205996.762223314
527163040,180687.556675906
531452260,178164.182417709
528222040,192322.744106813
923225360,91567.822397557
535457040,128580.427583471
904100170,134222.714119838
528218060,171298.9544629
908188150,134362.183708807
534252110,125711.634603002
909281030,131521.209755234
527354050,190206.693984521
909275020,148640.444627713
907414070,184438.355831477
924151040,268933.69838759
903452025,88364.4489115949
528280130,197100.156106305
528181030,192402.361937871
533221030,178747.589086863
533208070,167248.655396703
902207120,83687.1545472997
533205110,217283.15466742
533212110,150828.92973826
923276250,188661.530848679
527183030,188968.186382987
906402200,362669.632933383
527106140,189618.795465872
535383070,116553.119490712
528174040,191873.906175672
903481130,100519.156428724
528106010,337699.204430812
533223100,147535.625021939
528188090,160811.85840916
526353030,252843.020108675
911103060,123999.294920656
533251120,172089.163342019
533254100,184868.742441302
909426090,147119.877830341
904352190,136976.704040412
910226040,164784.361433686
908130020,138653.873069686
528458130,323648.463204557
907251100,257999.126744558
528429050,228709.094717485
531450030,193560.531301375
535152070,156743.966284106
535402010,169613.225202551
533212020,152968.067058117
528102100,278763.047755489
532376070,133617.086026266
902305090,85649.02782011
909425085,251757.619539319
534177180,244997.72687578
526351100,161745.620475085
528150090,330259.8097126
528348010,238031.530358666
903430060,126273.602930561
534402060,145411.703587501
533206060,188452.038516641
